Sim_num	Dist	Asc_NAF	Asc_NEU	Asc_NCHB	daf	Log10_NAF	Log10_NEU	Log10_NCHB	NEU_AS	TEU_AS	TAF	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7
344814	1.14971	10	9	16	0.0884805	4.91942	4.65055	3.53403	4303	1403	2831	-8.79263	-5.64083	-0.480861	1.10174	-4.44973	-0.491272	0.593119	3.14211
345758	1.27845	15	11	17	0.0796802	4.74987	4.23689	3.72403	3321	1523	3438	-2.55444	-3.16204	-0.410597	0.585658	-2.66589	-0.721094	0.0654948	2.5331
345913	1.36562	4	20	5	0.0781889	4.44942	4.66764	3.6504	2825	1076	2774	-1.78567	-6.87546	-2.51243	0.13236	-3.18068	0.660718	-0.439582	2.42534
346543	0.690535	8	17	15	0.0791425	4.49032	4.72149	3.74186	4808	1397	3680	-4.58986	-6.30889	-2.06427	0.391358	-2.76896	-2.08758	0.276044	1.64942
346930	1.29821	10	14	6	0.0736793	4.64213	4.58227	3.60336	4091	1200	2989	-3.79051	-5.24866	0.354195	2.14653	-3.01326	0.77769	0.2532	1.90071
347945	1.04701	6	12	13	0.0718605	4.92757	4.89188	3.53046	3049	1245	2646	-8.78461	-4.48633	-1.78816	1.82671	-3.5776	-0.243341	-0.8503	2.19812
351754	1.09153	13	18	9	0.0946879	4.63451	4.56258	3.70621	4279	1160	3062	-7.79502	-5.31114	-0.571957	1.39323	-2.38339	-0.208525	1.00631	1.3957
353655	1.11111	10	6	14	0.0923264	4.92479	4.63976	3.63468	4826	1091	3372	-8.32034	-4.57454	-0.952607	1.41451	-1.98702	-0.791824	0.939891	2.19296
354911	1.16221	10	10	20	0.0854657	4.59831	4.76718	3.77298	4703	1350	3735	-1.83611	-7.0449	-1.91031	-0.240967	-2.16544	-1.52745	-0.0309524	2.60201
356087	1.10688	8	10	12	0.0667059	4.28147	4.92916	3.75366	4226	1397	3431	-1.75014	-5.85999	-0.652202	0.977794	-2.22595	-1.43897	0.955543	2.1543
